date,bitcoin,ethereum,visa,mastercard
2009,32324.0,0.0,0.0,0.0
2010,187869.0,0.0,0.0,0.0
2011,1897485.0,0.0,0.0,0.0
2012,8356775.0,0.0,0.0,0.0
2013,19651687.0,0.0,0.0,0.0
2014,25289119.0,0.0,65000000000.0,39850000000.0
2015,45648444.0,1055177.0,71000000000.0,45280000000.0
2016,82788900.0,13661077.0,83200000000.0,51450000000.0
2017,104157345.0,102941034.0,111200000000.0,61250000000.0
2018,81392592.0,251166529.0,124300000000.0,73800000000.0
2019,119783647.0,242832115.0,138300000000.0,87300000000.0
2020,112568530.0,344766970.0,140800000000.0,90000000000.0
2021,97796453.0,461787962.0,164700000000.0,112100000000.0
2022,93106378.0,408541610.0,192500000000.0,149000000000.0
2023,22330130.0,78422046.0,0.0,0.0
0,814987678.0,1905174520.0,1091000000000.0,710030000000.0
